valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode
0.15,1971,0.313,0.489,5.006666666666667,0.7240000000000001,0,0.185,F,0.287,-8.367,Major,Baba O'Riley,77,0.0352,117.292,1970s,The Who,F - Major
0.1689999999999999,1971,0.907,0.547,3.1311166666666668,0.257,0,0.183,C,0.0935,-12.358,Major,Imagine - Remastered 2010,78,0.0252,75.752,1970s,John Lennon,C - Major
0.7490000000000001,1971,0.396,0.4370000000000001,4.923116666666667,0.8640000000000001,0,0.0314,E,0.242,-7.842,Minor,Black Dog - Remaster,72,0.0904,81.39399999999998,1970s,Led Zeppelin,E - Minor
0.5429999999999999,1971,0.5589999999999999,0.605,5.837783333333333,0.574,0,0.113,D,0.0684,-10.536,Major,Maggie May,72,0.0377,129.44899999999998,1970s,Rod Stewart,D - Major
0.6579999999999999,1971,0.302,0.453,4.522216666666667,0.464,0,5.96e-05,D,0.152,-10.96,Major,Me and Bobby McGee,72,0.0431,93.19,1970s,Janis Joplin,D - Major
0.6409999999999999,1971,0.805,0.505,4.238416666666667,0.258,0,0.0,B,0.12,-12.193,Minor,Danny's Song,67,0.0297,141.003,1970s,Loggins & Messina,B - Minor
0.815,1971,0.411,0.757,3.32,0.868,0,0.00221,A,0.355,-9.326,Major,Long Cool Woman (In a Black Dress) - 1999 Remaster,64,0.062,138.923,1970s,The Hollies,A - Major
0.158,1971,0.687,0.4320000000000001,5.6962166666666665,0.389,0,0.0107,G,0.0788,-6.517,Major,Wild Horses - 2009 Mix,72,0.0255,139.506,1970s,The Rolling Stones,G - Major
0.625,1971,0.758,0.462,3.1693333333333333,0.395,0,0.0,A,0.121,-9.376,Major,"Take Me Home, Country Roads",70,0.0264,82.259,1970s,John Denver,A - Major
0.522,1971,0.943,0.503,3.536016666666667,0.265,0,0.045,D,0.0867,-15.913,Major,Going to California - Remaster,67,0.0333,78.044,1970s,Led Zeppelin,D - Major
0.679,1971,0.9,0.693,4.391333333333334,0.201,0,0.0,C#,0.112,-9.903,Major,A Case of You,69,0.0288,100.836,1970s,Joni Mitchell,C# - Major
0.383,1971,0.979,0.405,4.084,0.152,0,9.07e-05,C,0.104,-13.901,Major,River,67,0.0395,61.34,1970s,Joni Mitchell,C - Major
0.907,1971,0.157,0.7290000000000001,4.45,0.818,0,0.285,D,0.195,-9.992,Major,Bang a Gong (Get It On) - Remastered Version,63,0.0732,125.811,1970s,T. Re,D - Major
0.617,1971,0.339,0.772,2.872,0.397,0,0.00541,G,0.0753,-8.585,Major,Tired of Being Alone,68,0.0391,97.964,1970s,Al Green,G - Major
0.477,1971,0.88,0.425,3.802666666666666,0.242,0,0.0118,C,0.195,-15.424,Major,Just My Imagination (Running Away With Me),64,0.0267,92.472,1970s,The Temptations,C - Major
0.963,1971,0.219,0.633,3.8111166666666665,0.934,0,0.00021,C,0.0592,-3.594,Major,Brown Sugar - 2009 Mix,70,0.0344,128.606,1970s,The Rolling Stones,C - Major
0.8109999999999999,1971,0.498,0.45,3.886216666666667,0.441,0,0.00562,A,0.133,-12.718,Minor,It's Too Late,69,0.0352,208.282,1970s,Carole King,A - Minor
0.342,1971,0.213,0.394,3.69045,0.622,0,4.45e-05,E,0.0892,-8.258,Minor,Behind Blue Eyes,70,0.0336,126.844,1970s,The Who,E - Minor
0.7809999999999999,1971,0.119,0.61,4.188883333333333,0.5820000000000001,0,3.76e-05,C,0.12,-10.422,Major,Peace Train,66,0.044,82.492,1970s,Yusuf / Cat Stevens,C - Major
0.645,1971,0.648,0.711,2.976,0.5760000000000001,0,0.00226,G,0.0528,-8.783999999999999,Minor,I Feel the Earth Move,65,0.0305,120.116,1970s,Carole King,G - Minor
0.216,1971,0.639,0.442,3.933116666666667,0.384,0,7.7e-05,A#,0.0539,-14.635,Major,Life on Mars? - 2015 Remaster,71,0.0414,123.281,1970s,David Bowie,A# - Major
0.813,1971,0.0969,0.458,4.656,0.8690000000000001,0,0.0596,A,0.357,-8.381,Major,Stay With Me,65,0.032,91.39,1970s,Faces,A - Major
0.478,1971,0.795,0.6890000000000001,4.481116666666667,0.2,0,0.0327,A,0.0893,-18.634,Major,You've Got a Friend - 2019 Remaster,60,0.0309,91.787,1970s,James Taylor,A - Major
0.727,1971,0.58,0.517,3.7677833333333335,0.502,0,0.00157,E,0.352,-15.014,Major,Never Been To Spain - Single Version,60,0.0275,88.762,1970s,Three Dog Night,E - Major
0.784,1971,0.905,0.464,3.8371166666666663,0.328,0,0.0,E,0.135,-9.005,Major,California,65,0.0407,70.859,1970s,Joni Mitchell,E - Major
0.458,1971,0.908,0.419,4.058216666666667,0.085,0,5.33e-06,G,0.34,-19.387,Major,Vincent,70,0.0362,91.509,1970s,Don McLean,G - Major
0.815,1971,0.539,0.6890000000000001,2.8593333333333333,0.83,0,0.0,G#,0.0882,-8.774,Major,Can You Get to That,65,0.0954,140.732,1970s,Funkadelic,G# - Major
0.8109999999999999,1971,0.0991,0.265,3.8766666666666665,0.8240000000000001,0,0.0,C#,0.359,-5.654,Minor,What's Going On,70,0.0991,203.206,1970s,Marvin Gaye,C# - Minor
0.78,1971,0.927,0.758,1.7033333333333334,0.187,0,0.1,D,0.122,-18.963,Major,The Wind,66,0.0437,115.75,1970s,Yusuf / Cat Stevens,D - Major
0.871,1971,0.000582,0.317,3.6760166666666665,0.887,0,0.00258,A,0.0891,-7.292000000000002,Major,Rock and Roll - Remaster,67,0.0375,169.613,1970s,Led Zeppelin,A - Major
0.931,1971,0.763,0.784,3.3357833333333335,0.459,0,1.28e-06,C,0.0684,-10.446,Major,Where You Lead,64,0.0304,106.957,1970s,Carole King,C - Major
0.966,1971,0.0573,0.564,3.3077833333333335,0.5870000000000001,0,0.00485,E,0.0416,-7.393,Minor,Love Her Madly,66,0.0316,147.46200000000005,1970s,The Doors,E - Minor
0.368,1971,0.0802,0.318,5.286766666666667,0.65,0,0.132,F#,0.0962,-13.928,Major,Children of the Grave - 2014 Remaster,58,0.0375,149.994,1970s,Black Sabbath,F# - Major
0.39,1971,0.541,0.617,3.7364333333333337,0.421,0,0.00227,C,0.125,-14.231,Major,Angel from Montgomery,60,0.0318,131.653,1970s,John Prine,C - Major
0.362,1971,0.895,0.488,3.9271166666666666,0.172,0,3.52e-05,D,0.0753,-14.264,Major,So Far Away,61,0.0372,143.631,1970s,Carole King,D - Major
0.41,1971,0.505,0.547,3.6291166666666665,0.308,0,0.0,C,0.109,-11.75,Major,Changes - 2015 Remaster,65,0.0377,114.719,1970s,David Bowie,C - Major
0.772,1971,0.139,0.519,3.99845,0.483,0,0.000218,A,0.365,-12.795,Minor,Strawberry Letter 23,64,0.0277,171.028,1970s,Shuggie Otis,A - Minor
0.458,1971,0.88,0.474,5.14955,0.263,0,4.45e-05,G#,0.123,-10.684,Major,You've Got a Friend,69,0.0336,168.683,1970s,Carole King,G# - Major
0.971,1971,0.29,0.8859999999999999,2.7426666666666666,0.491,0,2.46e-06,G#,0.229,-12.589,Major,Mr. Big Stuff,64,0.171,93.236,1970s,Jean Knight,G# - Major
0.967,1971,0.363,0.562,2.9897833333333335,0.779,0,0.0292,G,0.066,-6.705,Major,Honky Tonk Women - Mono Version,63,0.0592,119.602,1970s,The Rolling Stones,G - Major
0.259,1971,0.915,0.322,5.198216666666666,0.168,0,0.000223,A#,0.117,-13.893,Major,Sunshine On My Shoulders,61,0.0336,146.68,1970s,John Denver,A# - Major
0.7070000000000001,1971,0.562,0.764,2.6048833333333334,0.455,0,1.6100000000000002e-05,A#,0.0756,-10.336,Major,Take This Job and Shove It,57,0.0508,137.148,1970s,Johnny Paycheck,A# - Major
0.0723,1971,0.8220000000000001,0.315,5.43245,0.22,0,0.000211,F,0.245,-13.156,Major,A Song for You,64,0.037,88.045,1970s,Donny Hathaway,F - Major
0.552,1971,0.7929999999999999,0.67,2.8466666666666667,0.279,0,0.00879,F,0.109,-15.589,Major,Thank You - Remastered,60,0.0289,77.82,1970s,Bonnie Raitt,F - Major
0.6579999999999999,1971,0.00183,0.362,5.079783333333333,0.6,0,0.0426,D,0.0814,-12.285,Major,Sweet Leaf - 2014 Remaster,56,0.0463,148.46200000000005,1970s,Black Sabbath,D - Major
0.405,1971,0.622,0.424,3.3333333333333335,0.321,0,0.0196,G,0.0903,-13.162,Major,Morning Has Broken,69,0.0312,133.126,1970s,Yusuf / Cat Stevens,G - Major
0.87,1971,0.581,0.665,2.0577833333333335,0.512,0,0.0,E,0.371,-10.704,Major,Kiss an Angel Good Mornin',59,0.03,130.578,1970s,Charley Pride,E - Major
0.738,1971,0.3670000000000001,0.75,3.7253333333333334,0.78,0,2.67e-06,E,0.153,-7.8610000000000015,Major,Love the One You're With,61,0.036,94.864,1970s,The Isley Brothers,E - Major
0.574,1971,0.598,0.731,2.018,0.311,0,1.68e-06,E,0.111,-14.939,Minor,Grandma's Hands,63,0.0892,82.366,1970s,Bill Withers,E - Minor
0.145,1971,0.612,0.392,3.35,0.185,0,2.89e-06,E,0.0695,-15.472,Major,Without You,66,0.0285,64.933,1970s,Harry Nilsson,E - Major
0.126,1971,0.963,0.414,3.3908833333333335,0.062,0,0.0592,C,0.117,-24.57,Minor,The Little Drummer Boy - 1965 Version,55,0.0457,112.356,1970s,Harry Simeone Chorale,C - Minor
