valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode,artist_track
0.903,2001,0.0371,0.643,2.7642166666666665,0.8490000000000001,0,0.0,D,0.058,-5.428,Major,The Middle,78,0.0526,162.15200000000004,2000s,Jimmy Eat World,D - Major,Jimmy Eat World - The Middle
0.499,2001,0.154,0.468,4.332216666666667,0.64,0,0.0,C,0.154,-5.862,Major,Drops of Jupiter (Tell Me),78,0.0275,79.297,2000s,Train,C - Major,Train - Drops of Jupiter (Tell Me)
0.6920000000000001,2001,0.000481,0.589,3.3317833333333335,0.89,1,0.00082,E,0.201,-3.719,Minor,Last Resort,80,0.0603,90.598,2000s,Papa Roach,E - Minor,Papa Roach - Last Resort
0.6609999999999999,2001,0.00719,0.654,3.33845,0.81,0,0.00251,E,0.165,-6.26,Minor,Island In The Sun,76,0.0288,114.623,2000s,Weezer,E - Minor,Weezer - Island In The Sun
0.286,2001,0.000278,0.419,3.504,0.934,0,0.0015,G,0.132,-3.908,Minor,Chop Suey!,80,0.12,127.288,2000s,System Of A Down,G - Minor,System Of A Down - Chop Suey!
0.524,2001,0.0249,0.6629999999999999,5.682,0.6940000000000001,1,0.0,A#,0.0698,-8.627,Minor,Clint Eastwood,70,0.172,167.96400000000003,2000s,Gorillaz,A# - Minor,Gorillaz - Clint Eastwood
0.5429999999999999,2001,0.00135,0.446,3.7306666666666666,0.764,0,0.0,A#,0.099,-5.042,Major,How You Remind Me,78,0.033,172.09400000000005,2000s,Nickelback,A# - Major,Nickelback - How You Remind Me
0.687,2001,0.0206,0.647,4.16045,0.7290000000000001,0,0.0489,F,0.134,-6.251,Major,Your Body Is a Wonderland,76,0.0236,94.01,2000s,John Mayer,F - Major,John Mayer - Your Body Is a Wonderland
0.481,2001,0.000264,0.413,3.6488833333333335,0.873,0,0.0025,G#,0.204,-4.151,Major,Toxicity,78,0.0535,116.681,2000s,System Of A Down,G# - Major,System Of A Down - Toxicity
0.544,2001,0.00347,0.6559999999999999,3.366,0.932,0,0.00147,E,0.144,-3.405,Minor,Bodies,73,0.0708,130.936,2000s,Drowning Pool,E - Minor,Drowning Pool - Bodies
0.376,2001,0.172,0.6920000000000001,4.982666666666667,0.496,0,6.42e-06,G,0.107,-7.332000000000002,Major,Picture (feat. Sheryl Crow),69,0.0241,97.945,2000s,Kid Rock,G - Major,Kid Rock - Picture (feat. Sheryl Crow)
0.0824,2001,0.00189,0.509,4.411783333333333,0.774,1,0.000549,F#,0.143,-4.0539999999999985,Major,It's Been Awhile,67,0.0338,116.529,2000s,Staind,F# - Major,Staind - It's Been Awhile
0.5760000000000001,2001,0.325,0.927,5.477783333333333,0.3670000000000001,1,0.0,A,0.132,-7.7970000000000015,Major,Crazy Rap (Colt 45 & 2 Zig Zags),71,0.382,99.053,2000s,Afroman,A - Major,Afroman - Crazy Rap (Colt 45 & 2 Zig Zags)
0.498,2001,0.0029,0.609,4.206666666666667,0.935,0,0.000359,F#,0.188,-2.9410000000000003,Major,Click Click Boom,70,0.0479,95.957,2000s,Saliva,F# - Major,Saliva - Click Click Boom
0.7659999999999999,2001,0.000189,0.568,3.45155,0.8440000000000001,0,0.0,A,0.0607,-5.875,Major,In Too Deep,74,0.0505,116.046,2000s,Sum 41,A - Major,Sum 41 - In Too Deep
